prompt_id,metric,expected,actual,pass,details
canonical,products,1,1,True,
canonical,source_supplier_entities,1,1,True,
canonical,demand_consumer_entities,2,2,True,
canonical,transport_paths,2,2,True,
canonical,technologies,0,0,True,
canonical,products_include_manure,True,True,True,
canonical,manure_source_supplier_entities,1,1,True,
canonical,manure_demand_consumer_entities,2,2,True,
canonical,manure_transport_paths_from_source,2,2,True,
paraphrased,products,1,1,True,
paraphrased,source_supplier_entities,1,1,True,
paraphrased,demand_consumer_entities,2,2,True,
paraphrased,transport_paths,2,2,True,
paraphrased,technologies,0,0,True,
paraphrased,products_include_manure,True,True,True,
paraphrased,manure_source_supplier_entities,1,1,True,
paraphrased,manure_demand_consumer_entities,2,2,True,
paraphrased,manure_transport_paths_from_source,2,2,True,
